task,run_id,arm,tool,status,anonymous_candidate,judge_scores,mean_score,wall_seconds,candidate_turns,reviewer_turns,operator_turns,operator_questions,candidate_all_session_tokens,candidate_invocation_tokens,reviewer_invocation_tokens,candidate_session_files,candidate_session_usage_events,candidate_session_attribution,estimated_cost,estimated_cost_unit,focused_tests_passed,product_files_changed,product_additions,product_deletions,candidate_tool_calls
eslint-preserve-caught-error,o-r1,O,openspec,completed,Candidate-G,"[44, 56]",50.0,599.344,1,0,0,0,4337635,4337635,0,1,73,session-tree,45.008988,credits_per_million_tokens,True,4,155,16,87
eslint-preserve-caught-error,o-r2,O,openspec,completed,Candidate-A,"[52, 43]",47.5,760.979,1,0,0,0,7611950,7611950,0,1,93,session-tree,68.660462,credits_per_million_tokens,True,4,176,24,92
eslint-preserve-caught-error,o-r3,O,openspec,completed,Candidate-F,"[45, 48]",46.5,716.206,1,0,0,1,7902872,7902872,0,1,80,session-tree,73.922025,credits_per_million_tokens,True,4,146,21,82
eslint-preserve-caught-error,p-r1,P,ponytail,completed,Candidate-K,"[48, 47]",47.5,316.091,1,0,0,0,2021223,2021223,0,1,37,session-tree,22.413125,credits_per_million_tokens,True,4,116,15,36
eslint-preserve-caught-error,p-r2,P,ponytail,completed,Candidate-L,"[60, 49]",54.5,642.065,2,0,0,0,2997241,2997241,0,1,49,session-tree,32.514837,credits_per_million_tokens,True,4,111,18,44
eslint-preserve-caught-error,p-r3,P,ponytail,completed,Candidate-B,"[42, 40]",41.0,582.134,2,0,0,0,4665254,4665254,0,1,66,session-tree,45.263225,credits_per_million_tokens,True,4,109,17,51
eslint-preserve-caught-error,l0-r1,L0,matrixspec-lite-l0,completed,Candidate-D,"[100, 100]",100.0,3834.176,16,1,13,13,66803070,104583717,678187,6,721,session-tree,696.26895,credits_per_million_tokens,True,4,570,28,95
eslint-preserve-caught-error,l0-r2,L0,matrixspec-lite-l0,completed,Candidate-E,"[100, 100]",100.0,2964.243,18,2,14,13,22901242,101155977,2517925,3,218,session-tree,294.873187,credits_per_million_tokens,True,4,680,173,108
eslint-preserve-caught-error,l0-r3,L0,matrixspec-lite-l0,protocol-failed,Candidate-C,"[79, 88]",83.5,1864.344,8,2,4,5,20174465,37755771,1043078,3,180,session-tree,176.383787,credits_per_million_tokens,True,4,447,92,115
eslint-preserve-caught-error,g-r1,G,grill-me,completed,Candidate-B,"[100, 100]",100.0,1390.067,13,0,12,12,9046617,15882184,0,1,100,session-tree,113.67695,credits_per_million_tokens,True,4,504,182,90
eslint-preserve-caught-error,g-r2,G,grill-me,completed,Candidate-C,"[98, 100]",99.0,1435.728,13,0,12,12,10252120,15851294,0,1,97,session-tree,131.7931,credits_per_million_tokens,True,4,545,181,87
eslint-preserve-caught-error,g-r3,G,grill-me,completed,Candidate-A,"[100, 100]",100.0,1910.196,14,0,13,13,17546793,23936795,0,1,145,session-tree,170.734375,credits_per_million_tokens,True,4,495,176,80
pytest-plugin-entry-points,s-r1,S,superpowers,completed,Candidate-G,"[100, 100]",100.0,1240.328,6,0,5,5,15742859,15574034,0,2,155,session-tree,164.68755,credits_per_million_tokens,True,7,188,17,51
pytest-plugin-entry-points,s-r2,S,superpowers,completed,Candidate-A,"[97, 100]",98.5,3315.702,11,0,8,8,31071411,33150002,0,23,387,session-tree,310.440526,credits_per_million_tokens,True,6,194,16,76
pytest-plugin-entry-points,s-r3,S,superpowers,completed,Candidate-J,"[100, 100]",100.0,3539.418,8,0,6,6,35235955,37792907,0,19,336,session-tree,353.655462,credits_per_million_tokens,True,7,150,21,67
pytest-plugin-entry-points,o-r1,O,openspec,completed,Candidate-H,"[95, 95]",95.0,1807.631,2,0,0,0,3078652,3078652,0,1,56,session-tree,33.93205,credits_per_million_tokens,True,7,102,15,33
pytest-plugin-entry-points,o-r2,O,openspec,completed,Candidate-F,"[92, 96]",94.0,2028.506,2,0,0,0,2891945,2891945,0,1,55,session-tree,32.806675,credits_per_million_tokens,True,7,87,14,34
pytest-plugin-entry-points,o-r3,O,openspec,completed,Candidate-L,"[100, 91]",95.5,442.778,1,0,0,0,3252083,3252083,0,1,58,session-tree,33.116588,credits_per_million_tokens,True,6,74,28,61
pytest-plugin-entry-points,p-r1,P,ponytail,completed,Candidate-C,"[93, 90]",91.5,225.094,1,0,0,0,1064627,1064627,0,1,23,session-tree,14.200425,credits_per_million_tokens,True,5,52,16,32
pytest-plugin-entry-points,p-r2,P,ponytail,completed,Candidate-E,"[94, 100]",97.0,383.35,2,0,0,0,2245696,2245696,0,1,37,session-tree,24.096912,credits_per_million_tokens,True,5,51,17,33
pytest-plugin-entry-points,p-r3,P,ponytail,completed,Candidate-K,"[96, 94]",95.0,278.851,2,0,0,0,1262941,1262941,0,1,28,session-tree,14.872188,credits_per_million_tokens,True,5,25,24,24
pytest-plugin-entry-points,l0-r1,L0,matrixspec-lite-l0,protocol-failed,Candidate-B,"[87, 96]",91.5,1913.863,16,2,14,14,13432022,46371051,1287704,3,158,session-tree,202.789012,credits_per_million_tokens,True,6,191,21,94
pytest-plugin-entry-points,l0-r2,L0,matrixspec-lite-l0,completed,Candidate-D,"[92, 96]",94.0,1364.808,10,1,6,7,9527486,31470834,976501,2,142,session-tree,115.412938,credits_per_million_tokens,True,6,66,15,87
pytest-plugin-entry-points,l0-r3,L0,matrixspec-lite-l0,completed,Candidate-I,"[100, 100]",100.0,2652.173,14,1,11,12,13213849,43710599,1116193,2,149,session-tree,170.939462,credits_per_million_tokens,True,6,96,30,93
pytest-plugin-entry-points,g-r1,G,grill-me,completed,Candidate-C,"[100, 100]",100.0,635.615,7,0,6,6,2330859,4064588,0,1,43,session-tree,36.517663,credits_per_million_tokens,True,7,98,19,29
pytest-plugin-entry-points,g-r2,G,grill-me,completed,Candidate-A,"[100, 100]",100.0,495.909,6,0,5,5,1664895,2936232,0,2,37,session-tree,27.011275,credits_per_million_tokens,True,6,79,14,17
pytest-plugin-entry-points,g-r3,G,grill-me,completed,Candidate-B,"[98, 94]",96.0,643.982,6,0,5,5,3553551,5120283,0,1,49,session-tree,42.547325,credits_per_million_tokens,True,7,198,20,46
pytest-addini-type-expressions,s-r1,S,superpowers,completed,Candidate-F,"[89, 86]",87.5,7865.282,15,0,8,10,120882521,75035578,0,36,1062,session-tree,1072.623175,credits_per_million_tokens,True,6,727,54,85
pytest-addini-type-expressions,s-r2,S,superpowers,completed,Candidate-H,"[88, 87]",87.5,1698.946,14,0,11,11,15034881,25188525,0,7,144,session-tree,163.947825,credits_per_million_tokens,True,5,438,22,34
pytest-addini-type-expressions,s-r3,S,superpowers,completed,Candidate-D,"[98, 89]",93.5,5799.595,17,0,13,13,53726741,98548846,0,23,575,session-tree,532.437563,credits_per_million_tokens,True,5,698,32,80
pytest-addini-type-expressions,o-r1,O,openspec,completed,Candidate-J,"[82, 79]",80.5,732.223,1,0,0,0,7226878,7226878,0,1,82,session-tree,67.639013,credits_per_million_tokens,True,6,380,30,79
pytest-addini-type-expressions,o-r2,O,openspec,completed,Candidate-L,"[87, 92]",89.5,848.056,1,0,0,0,7814320,7814320,0,1,84,session-tree,72.50655,credits_per_million_tokens,True,6,351,27,77
pytest-addini-type-expressions,o-r3,O,openspec,completed,Candidate-G,"[67, 69]",68.0,725.935,2,0,0,0,6286798,6286798,0,1,73,session-tree,59.132488,credits_per_million_tokens,True,4,224,25,41
pytest-addini-type-expressions,p-r1,P,ponytail,completed,Candidate-C,"[79, 79]",79.0,608.919,1,0,0,0,4246228,4246228,0,1,54,session-tree,44.658388,credits_per_million_tokens,True,6,342,26,60
pytest-addini-type-expressions,p-r2,P,ponytail,completed,Candidate-I,"[81, 84]",82.5,645.744,1,0,0,0,5048438,5048438,0,1,59,session-tree,50.418112,credits_per_million_tokens,True,6,350,27,77
pytest-addini-type-expressions,p-r3,P,ponytail,completed,Candidate-B,"[95, 92]",93.5,1779.191,2,0,0,0,5646260,5646260,0,1,65,session-tree,61.580225,credits_per_million_tokens,True,6,384,25,57
pytest-addini-type-expressions,l0-r1,L0,matrixspec-lite-l0,protocol-failed,Candidate-A,"[93, 93]",93.0,3168.215,14,3,10,10,17393680,43054284,1128333,4,177,session-tree,200.577013,credits_per_million_tokens,True,6,456,28,107
pytest-addini-type-expressions,l0-r2,L0,matrixspec-lite-l0,protocol-failed,Candidate-K,"[93, 90]",91.5,3174.096,20,4,13,14,27023251,89413428,7310675,5,295,session-tree,303.02875,credits_per_million_tokens,True,6,431,22,86
pytest-addini-type-expressions,l0-r3,L0,matrixspec-lite-l0,protocol-failed,Candidate-E,"[78, 76]",77.0,1428.377,11,1,10,11,13238787,17039049,1567711,2,147,session-tree,153.936625,credits_per_million_tokens,True,6,313,24,108
pytest-addini-type-expressions,g-r1,G,grill-me,completed,Candidate-A,"[91, 82]",86.5,1025.707,12,0,11,11,4716715,10284296,0,1,60,session-tree,73.767612,credits_per_million_tokens,True,5,349,20,46
pytest-addini-type-expressions,g-r2,G,grill-me,completed,Candidate-C,"[90, 87]",88.5,1074.253,12,0,11,11,4713296,9338941,0,1,65,session-tree,71.25565,credits_per_million_tokens,True,6,414,25,45
pytest-addini-type-expressions,g-r3,G,grill-me,completed,Candidate-B,"[87, 84]",85.5,1282.638,14,0,13,13,6299303,12220329,0,1,74,session-tree,114.942138,credits_per_million_tokens,True,6,303,20,61
bat-sanitize,s-r1,S,superpowers,completed,Candidate-L,"[10, 96]",53.0,1779.772,10,0,7,7,13919990,25124923,0,6,124,session-tree,143.454426,credits_per_million_tokens,True,14,431,17,94
bat-sanitize,s-r2,S,superpowers,completed,Candidate-K,"[86, 95]",90.5,1676.145,10,0,9,9,18307080,32141779,0,4,138,session-tree,174.142674,credits_per_million_tokens,True,14,385,27,90
bat-sanitize,s-r3,S,superpowers,completed,Candidate-G,"[81, 84]",82.5,2751.512,13,0,10,10,53775803,48394165,0,8,424,session-tree,510.142563,credits_per_million_tokens,False,14,475,14,137
bat-sanitize,o-r1,O,openspec,completed,Candidate-A,"[94, 96]",95.0,868.609,1,0,0,0,8024708,8024708,0,1,84,session-tree,75.697675,credits_per_million_tokens,True,14,410,34,98
bat-sanitize,o-r2,O,openspec,completed,Candidate-F,"[83, 86]",84.5,950.656,2,0,0,0,7478583,7478583,0,1,73,session-tree,77.076087,credits_per_million_tokens,False,14,334,33,47
bat-sanitize,o-r3,O,openspec,completed,Candidate-I,"[89, 91]",90.0,981.793,2,0,0,0,11410515,11410515,0,1,99,session-tree,99.7871,credits_per_million_tokens,True,14,374,14,74
bat-sanitize,p-r1,P,ponytail,completed,Candidate-H,"[78, 78]",78.0,834.555,2,0,0,0,8443289,8443289,0,1,80,session-tree,75.843575,credits_per_million_tokens,False,14,334,24,79
bat-sanitize,p-r2,P,ponytail,completed,Candidate-C,"[86, 83]",84.5,679.107,1,0,0,0,7524607,7524607,0,1,69,session-tree,69.087137,credits_per_million_tokens,False,14,323,23,76
bat-sanitize,p-r3,P,ponytail,completed,Candidate-B,"[76, 79]",77.5,647.748,1,0,0,0,5242875,5242875,0,1,53,session-tree,51.9685,credits_per_million_tokens,False,14,285,9,65
bat-sanitize,l0-r1,L0,matrixspec-lite-l0,protocol-failed,Candidate-E,"[83, 88]",85.5,2135.062,11,2,7,7,19592440,53308123,1106742,3,206,session-tree,204.160525,credits_per_million_tokens,True,14,475,12,105
bat-sanitize,l0-r2,L0,matrixspec-lite-l0,protocol-failed,Candidate-D,"[81, 82]",81.5,3966.287,11,3,7,7,20715471,53188321,2844219,4,198,session-tree,218.753837,credits_per_million_tokens,False,14,500,18,115
bat-sanitize,l0-r3,L0,matrixspec-lite-l0,token-limit,Candidate-J,"[95, 93]",94.0,2882.433,15,0,11,12,17431289,103046795,0,1,166,session-tree,247.315099,credits_per_million_tokens,True,14,402,9,59
bat-sanitize,g-r1,G,grill-me,completed,Candidate-C,"[98, 99]",98.5,1183.525,10,0,9,9,8078040,11893405,0,1,80,session-tree,91.310538,credits_per_million_tokens,True,14,363,34,61
bat-sanitize,g-r2,G,grill-me,completed,Candidate-B,"[93, 95]",94.0,1384.255,17,0,16,16,6765785,16420804,0,1,78,session-tree,116.817038,credits_per_million_tokens,True,14,460,14,58
bat-sanitize,g-r3,G,grill-me,completed,Candidate-A,"[100, 99]",99.5,1878.048,18,0,17,17,15979677,46047686,0,1,116,session-tree,205.151224,credits_per_million_tokens,True,14,502,8,80
sqlmodel-field-constraints,s-r1,S,superpowers,completed,Candidate-F,"[85, 78]",81.5,2057.025,9,0,6,6,17947882,19587556,0,7,177,session-tree,175.604738,credits_per_million_tokens,True,1,168,10,116
sqlmodel-field-constraints,s-r2,S,superpowers,completed,Candidate-A,"[88, 85]",86.5,1661.852,9,0,6,6,21694863,17545146,0,3,228,session-tree,228.242,credits_per_million_tokens,True,1,162,14,52
sqlmodel-field-constraints,s-r3,S,superpowers,completed,Candidate-C,"[85, 85]",85.0,2149.819,11,0,9,9,24924312,20899580,0,4,259,session-tree,249.915062,credits_per_million_tokens,True,1,153,9,140
sqlmodel-field-constraints,o-r1,O,openspec,completed,Candidate-I,"[85, 85]",85.0,593.901,1,0,0,0,3392048,3392048,0,1,61,session-tree,37.368788,credits_per_million_tokens,True,1,191,21,59
sqlmodel-field-constraints,o-r2,O,openspec,completed,Candidate-G,"[85, 85]",85.0,682.981,1,0,0,0,4684076,4684076,0,1,77,session-tree,49.291513,credits_per_million_tokens,True,1,156,2,69
sqlmodel-field-constraints,o-r3,O,openspec,completed,Candidate-B,"[76, 74]",75.0,503.669,1,0,0,0,2556059,2556059,0,1,52,session-tree,32.393687,credits_per_million_tokens,False,1,146,2,67
sqlmodel-field-constraints,p-r1,P,ponytail,completed,Candidate-E,"[85, 85]",85.0,432.92,1,0,0,0,1033849,1033849,0,1,24,session-tree,18.142325,credits_per_million_tokens,True,1,159,7,36
sqlmodel-field-constraints,p-r2,P,ponytail,completed,Candidate-H,"[67, 70]",68.5,460.826,2,0,0,0,1866436,1866436,0,1,35,session-tree,22.35775,credits_per_million_tokens,False,1,95,0,30
sqlmodel-field-constraints,p-r3,P,ponytail,completed,Candidate-L,"[63, 68]",65.5,525.42,2,0,0,0,1799710,1799710,0,1,37,session-tree,23.5912,credits_per_million_tokens,False,1,149,0,35
sqlmodel-field-constraints,l0-r1,L0,matrixspec-lite-l0,completed,Candidate-J,"[85, 85]",85.0,1818.344,15,3,10,11,10720051,46517591,1119886,5,154,session-tree,158.284175,credits_per_million_tokens,True,1,153,8,75
sqlmodel-field-constraints,l0-r2,L0,matrixspec-lite-l0,completed,Candidate-K,"[85, 85]",85.0,1445.516,14,1,10,11,7747420,23990171,867819,2,112,session-tree,103.784774,credits_per_million_tokens,True,1,142,3,79
sqlmodel-field-constraints,l0-r3,L0,matrixspec-lite-l0,protocol-failed,Candidate-D,"[84, 85]",84.5,1950.518,13,3,10,10,12088740,28864561,911074,4,169,session-tree,167.100838,credits_per_million_tokens,True,1,152,8,113
sqlmodel-field-constraints,g-r1,G,grill-me,completed,Candidate-A,"[88, 85]",86.5,750.375,6,0,5,5,2731450,3473872,0,1,59,session-tree,37.178624,credits_per_million_tokens,True,1,143,5,40
sqlmodel-field-constraints,g-r2,G,grill-me,completed,Candidate-B,"[85, 85]",85.0,727.729,9,0,8,8,1408399,3274606,0,1,36,session-tree,29.624462,credits_per_million_tokens,True,1,146,2,22
sqlmodel-field-constraints,g-r3,G,grill-me,completed,Candidate-C,"[88, 85]",86.5,716.855,8,0,7,7,2051197,3272308,0,1,50,session-tree,32.3935,credits_per_million_tokens,True,1,149,5,29
axum-custom-executor,s-r1,S,superpowers,completed,Candidate-I,"[99, 99]",99.0,1916.406,11,0,8,9,36870792,22663620,0,8,395,session-tree,354.014738,credits_per_million_tokens,True,1,302,20,85
axum-custom-executor,s-r2,S,superpowers,completed,Candidate-B,"[94, 95]",94.5,1438.227,9,0,6,7,6522654,10056525,0,3,86,session-tree,72.265387,credits_per_million_tokens,True,1,267,21,65
axum-custom-executor,s-r3,S,superpowers,completed,Candidate-D,"[99, 99]",99.0,6534.14,16,0,11,13,43994222,69496061,0,27,515,session-tree,462.508025,credits_per_million_tokens,True,1,378,31,39
axum-custom-executor,o-r1,O,openspec,completed,Candidate-L,"[67, 61]",64.0,613.958,1,0,0,0,4990001,4990001,0,1,73,session-tree,48.507463,credits_per_million_tokens,False,1,191,22,64
axum-custom-executor,o-r2,O,openspec,completed,Candidate-K,"[64, 60]",62.0,554.957,1,0,0,0,2976237,2958363,0,2,58,session-tree,37.988912,credits_per_million_tokens,False,1,192,19,49
axum-custom-executor,o-r3,O,openspec,completed,Candidate-E,"[65, 73]",69.0,633.319,1,0,0,0,3902517,3889331,0,2,71,session-tree,40.310587,credits_per_million_tokens,False,1,213,10,59
axum-custom-executor,p-r1,P,ponytail,completed,Candidate-A,"[62, 59]",60.5,519.918,2,0,0,0,2435747,2435747,0,1,41,session-tree,27.53605,credits_per_million_tokens,False,1,168,11,37
axum-custom-executor,p-r2,P,ponytail,completed,Candidate-J,"[71, 58]",64.5,539.7,2,0,0,0,2932999,2914927,0,2,46,session-tree,32.438113,credits_per_million_tokens,False,1,168,9,35
axum-custom-executor,p-r3,P,ponytail,completed,Candidate-C,"[60, 60]",60.0,420.326,1,0,0,0,1759671,1759671,0,1,36,session-tree,21.809213,credits_per_million_tokens,False,1,175,11,29
axum-custom-executor,l0-r1,L0,matrixspec-lite-l0,completed,Candidate-F,"[100, 99]",99.5,1877.955,14,2,12,11,12461467,45202683,919066,4,161,session-tree,169.496212,credits_per_million_tokens,True,2,251,24,97
axum-custom-executor,l0-r2,L0,matrixspec-lite-l0,protocol-failed,Candidate-G,"[100, 99]",99.5,3880.994,12,1,10,9,83712498,64985627,1366159,9,992,session-tree,768.342937,credits_per_million_tokens,True,1,375,19,132
axum-custom-executor,l0-r3,L0,matrixspec-lite-l0,completed,Candidate-H,"[67, 58]",62.5,1434.316,8,3,5,5,8434899,20443031,543011,5,141,session-tree,96.340662,credits_per_million_tokens,False,1,178,8,83
axum-custom-executor,g-r1,G,grill-me,completed,Candidate-A,"[95, 94]",94.5,792.009,9,0,8,8,2720237,5070486,0,1,49,session-tree,51.635799,credits_per_million_tokens,True,1,218,21,30
axum-custom-executor,g-r2,G,grill-me,completed,Candidate-B,"[100, 100]",100.0,1057.228,13,0,12,13,3419521,9206063,0,2,61,session-tree,65.319725,credits_per_million_tokens,True,1,294,22,37
axum-custom-executor,g-r3,G,grill-me,completed,Candidate-C,"[100, 98]",99.0,1080.717,13,0,12,12,3431117,8014110,0,2,68,session-tree,69.041538,credits_per_million_tokens,True,2,274,24,32
prometheus-utf8-negotiation,s-r1,S,superpowers,completed,Candidate-L,"[47, 49]",48.0,1834.124,13,0,12,12,12274626,22275771,0,2,125,session-tree,140.785475,credits_per_million_tokens,False,7,290,39,72
prometheus-utf8-negotiation,s-r2,S,superpowers,completed,Candidate-J,"[87, 86]",86.5,7736.843,21,0,13,14,67414340,97144827,0,38,724,session-tree,678.799787,credits_per_million_tokens,False,10,571,64,70
prometheus-utf8-negotiation,s-r3,S,superpowers,completed,Candidate-H,"[77, 91]",84.0,2162.712,12,0,10,10,34275787,38341351,0,11,294,session-tree,332.64425,credits_per_million_tokens,True,9,409,62,85
prometheus-utf8-negotiation,o-r1,O,openspec,completed,Candidate-C,"[22, 30]",26.0,651.246,1,0,0,0,4013237,4013237,0,1,56,session-tree,43.599225,credits_per_million_tokens,False,3,201,32,72
prometheus-utf8-negotiation,o-r2,O,openspec,completed,Candidate-F,"[28, 29]",28.5,729.145,2,0,0,0,4042390,4042390,0,1,61,session-tree,47.267637,credits_per_million_tokens,False,5,204,36,38
prometheus-utf8-negotiation,o-r3,O,openspec,completed,Candidate-K,"[42, 53]",47.5,1036.98,1,0,0,0,10068095,10027474,0,2,100,session-tree,101.614175,credits_per_million_tokens,False,5,226,45,90
prometheus-utf8-negotiation,p-r1,P,ponytail,completed,Candidate-D,"[22, 22]",22.0,413.621,1,0,0,0,1555305,1555305,0,1,24,session-tree,22.491375,credits_per_million_tokens,False,2,110,42,35
prometheus-utf8-negotiation,p-r2,P,ponytail,completed,Candidate-I,"[30, 29]",29.5,501.456,1,0,0,0,1790518,1773410,0,2,31,session-tree,26.005975,credits_per_million_tokens,False,3,162,36,37
prometheus-utf8-negotiation,p-r3,P,ponytail,completed,Candidate-A,"[78, 67]",72.5,745.695,1,0,0,0,4779723,4665210,0,2,55,session-tree,53.182412,credits_per_million_tokens,True,8,198,48,71
prometheus-utf8-negotiation,l0-r1,L0,matrixspec-lite-l0,protocol-failed,Candidate-G,"[71, 76]",73.5,4136.224,19,3,15,15,21020510,70293138,758202,4,204,session-tree,325.7143,credits_per_million_tokens,False,6,319,44,96
prometheus-utf8-negotiation,l0-r2,L0,matrixspec-lite-l0,protocol-failed,Candidate-B,"[57, 53]",55.0,2877.648,10,2,6,6,19399018,33822125,1280129,4,160,session-tree,189.316925,credits_per_million_tokens,False,5,284,43,126
prometheus-utf8-negotiation,l0-r3,L0,matrixspec-lite-l0,completed,Candidate-E,"[63, 60]",61.5,2797.125,24,3,19,20,21335205,117319133,2798145,6,207,session-tree,429.272613,credits_per_million_tokens,False,7,360,49,102
prometheus-utf8-negotiation,g-r1,G,grill-me,completed,Candidate-B,"[74, 70]",72.0,1456.606,21,0,20,20,8622571,38659030,0,1,79,session-tree,145.334849,credits_per_million_tokens,True,9,201,59,46
prometheus-utf8-negotiation,g-r2,G,grill-me,completed,Candidate-C,"[66, 76]",71.0,1648.627,29,0,28,28,4542804,29357573,0,1,67,session-tree,228.342975,credits_per_million_tokens,False,6,227,37,25
prometheus-utf8-negotiation,g-r3,G,grill-me,completed,Candidate-A,"[71, 68]",69.5,1161.906,15,0,14,14,5706973,16374204,0,1,65,session-tree,99.86565,credits_per_million_tokens,True,3,197,37,42
